id,emp_name,sales_date,sales_target,actual_sales
1001,Aarav Sharma,2026-01-01,15000,19200
1001,Aarav Sharma,2026-01-02,15000,14700
1001,Aarav Sharma,2026-01-03,15000,16300
1001,Aarav Sharma,2026-01-05,15000,14900
1001,Aarav Sharma,2026-01-06,15000,16900
1001,Aarav Sharma,2026-01-07,15000,15300
1001,Aarav Sharma,2026-01-08,15000,13900
1001,Aarav Sharma,2026-01-09,15000,16900
1001,Aarav Sharma,2026-01-10,15000,11900
1001,Aarav Sharma,2026-01-12,15000,17200
1001,Aarav Sharma,2026-01-13,15000,15100
1001,Aarav Sharma,2026-01-14,15000,20300
1001,Aarav Sharma,2026-01-15,15000,19100
1001,Aarav Sharma,2026-01-16,15000,16000
1001,Aarav Sharma,2026-01-17,15000,19100
1001,Aarav Sharma,2026-01-19,15000,18500
1001,Aarav Sharma,2026-01-20,15000,17300
1001,Aarav Sharma,2026-01-21,15000,14300
1001,Aarav Sharma,2026-01-22,15000,17800
1001,Aarav Sharma,2026-01-23,15000,13800
1001,Aarav Sharma,2026-01-24,15000,19300
1001,Aarav Sharma,2026-01-26,15000,17400
1001,Aarav Sharma,2026-01-27,15000,13300
1001,Aarav Sharma,2026-01-28,15000,23800
1001,Aarav Sharma,2026-01-29,15000,17700
1001,Aarav Sharma,2026-01-30,15000,18100
1001,Aarav Sharma,2026-01-31,15000,15400
1001,Aarav Sharma,2026-02-02,15000,16800
1001,Aarav Sharma,2026-02-03,15000,14500
1001,Aarav Sharma,2026-02-04,15000,13300
1001,Aarav Sharma,2026-02-05,15000,12100
1001,Aarav Sharma,2026-02-06,15000,19500
1001,Aarav Sharma,2026-02-07,15000,16700
1001,Aarav Sharma,2026-02-09,15000,16400
1001,Aarav Sharma,2026-02-10,15000,14100
1001,Aarav Sharma,2026-02-11,15000,14400
1001,Aarav Sharma,2026-02-12,15000,17200
1001,Aarav Sharma,2026-02-13,15000,14200
1001,Aarav Sharma,2026-02-14,15000,15500
1001,Aarav Sharma,2026-02-16,15000,14000
1001,Aarav Sharma,2026-02-17,15000,14300
1001,Aarav Sharma,2026-02-18,15000,17300
1001,Aarav Sharma,2026-02-19,15000,12600
1001,Aarav Sharma,2026-02-20,15000,15500
1001,Aarav Sharma,2026-02-21,15000,17800
1001,Aarav Sharma,2026-02-23,15000,10700
1001,Aarav Sharma,2026-02-24,15000,12500
1001,Aarav Sharma,2026-02-25,15000,21500
1001,Aarav Sharma,2026-02-26,15000,16700
1001,Aarav Sharma,2026-02-27,15000,13100
1001,Aarav Sharma,2026-02-28,15000,15900
1001,Aarav Sharma,2026-03-02,15000,16200
1001,Aarav Sharma,2026-03-03,15000,17900
1001,Aarav Sharma,2026-03-04,15000,18800
1001,Aarav Sharma,2026-03-05,15000,20700
1001,Aarav Sharma,2026-03-06,15000,10600
1001,Aarav Sharma,2026-03-07,15000,15500
1001,Aarav Sharma,2026-03-09,15000,22200
1001,Aarav Sharma,2026-03-10,15000,19500
1001,Aarav Sharma,2026-03-11,15000,18600
1001,Aarav Sharma,2026-03-12,15000,15900
1001,Aarav Sharma,2026-03-13,15000,20300
1001,Aarav Sharma,2026-03-14,15000,21400
