Student_ID,Name,Gender,Age,Study_Hours,Attendance,Maths,Science,English,Final_Score
101,Amit,Male,20,5,85,78,82,75,78.3
102,Priya,Female,21,7,92,88,91,85,88.0
103,Rahul,Male,20,3,70,65,68,72,68.3
104,Neha,Female,19,8,95,94,92,90,92.0
105,Rohan,Male,22,4,78,72,75,70,72.3
106,Sneha,Female,20,6,88,85,87,89,87.0
107,Vikas,Male,21,2,65,58,62,60,60.0
108,Pooja,Female,19,9,98,96,95,94,95.0
109,Akash,Male,22,5,82,80,78,76,78.0
110,Anjali,Female,20,7,90,89,93,88,90.0
111,Sameer,Male,21,3,72,68,70,65,67.7
112,Kavita,Female,19,6,86,84,81,87,84.0
113,Arjun,Male,20,4,80,75,73,78,75.3
114,Riya,Female,21,8,94,91,96,92,93.0
115,Manish,Male,22,2,68,60,64,66,63.3
116,Swati,Female,20,5,84,79,85,82,82.0
117,Karan,Male,21,6,87,83,80,85,82.7
118,Meera,Female,19,9,97,95,98,96,96.3
119,Deepak,Male,22,3,74,67,69,71,69.0
120,Isha,Female,20,7,91,90,88,93,90.3
